date,prcp,station
2016-08-24,2.0,USC00519397
2016-08-25,2.0,USC00519397
2016-08-26,0.0,USC00519397
2016-08-27,0.0,USC00519397
2016-08-28,0.3,USC00519397
2016-08-29,0.0,USC00519397
2016-08-30,0.0,USC00519397
2016-08-31,3.3,USC00519397
2016-09-01,0.0,USC00519397
2016-09-02,0.0,USC00519397
2016-09-03,0.0,USC00519397
2016-09-04,0.8,USC00519397
2016-09-05,,USC00519397
2016-09-06,,USC00519397
2016-09-07,1.3,USC00519397
2016-09-08,0.0,USC00519397
2016-09-09,0.8,USC00519397
2016-09-10,0.0,USC00519397
2016-09-11,1.3,USC00519397
2016-09-12,0.0,USC00519397
2016-09-13,0.5,USC00519397
2016-09-14,33.5,USC00519397
2016-09-15,10.7,USC00519397
2016-09-16,1.5,USC00519397
2016-09-17,1.3,USC00519397
2016-09-18,0.0,USC00519397
2016-09-19,0.0,USC00519397
2016-09-20,0.0,USC00519397
2016-09-21,0.0,USC00519397
2016-09-22,0.5,USC00519397
2016-09-23,0.0,USC00519397
2016-09-24,0.0,USC00519397
2016-09-25,0.0,USC00519397
2016-09-26,1.5,USC00519397
2016-09-27,0.5,USC00519397
2016-09-28,0.0,USC00519397
2016-09-29,0.0,USC00519397
2016-09-30,0.0,USC00519397
2016-10-01,0.0,USC00519397
2016-10-02,0.0,USC00519397
2016-10-03,0.0,USC00519397
2016-10-04,0.0,USC00519397
2016-10-05,0.0,USC00519397
2016-10-06,0.0,USC00519397
2016-10-07,0.0,USC00519397
2016-10-08,0.0,USC00519397
2016-10-09,0.0,USC00519397
2016-10-10,0.0,USC00519397
2016-10-11,0.0,USC00519397
2016-10-12,0.0,USC00519397
2016-10-13,0.0,USC00519397
2016-10-14,0.0,USC00519397
2016-10-15,0.0,USC00519397
2016-10-16,0.0,USC00519397
2016-10-17,0.3,USC00519397
2016-10-18,0.0,USC00519397
2016-10-19,0.0,USC00519397
2016-10-20,0.0,USC00519397
2016-10-21,1.3,USC00519397
2016-10-22,3.8,USC00519397
2016-10-23,0.3,USC00519397
2016-10-24,0.0,USC00519397
2016-10-25,0.8,USC00519397
2016-10-26,0.0,USC00519397
2016-10-27,0.0,USC00519397
2016-10-28,0.0,USC00519397
2016-10-29,0.0,USC00519397
2016-10-30,6.1,USC00519397
2016-10-31,0.8,USC00519397
2016-11-01,0.0,USC00519397
2016-11-02,0.0,USC00519397
2016-11-03,0.0,USC00519397
2016-11-04,0.0,USC00519397
2016-11-05,0.0,USC00519397
2016-11-06,0.0,USC00519397
2016-11-07,0.0,USC00519397
2016-11-08,1.8,USC00519397
2016-11-09,0.0,USC00519397
2016-11-10,0.0,USC00519397
2016-11-11,0.0,USC00519397
2016-11-12,0.0,USC00519397
2016-11-13,0.0,USC00519397
2016-11-14,0.0,USC00519397
2016-11-15,0.0,USC00519397
2016-11-16,0.0,USC00519397
2016-11-17,0.0,USC00519397
2016-11-18,0.0,USC00519397
2016-11-19,0.8,USC00519397
2016-11-20,1.3,USC00519397
2016-11-21,0.3,USC00519397
2016-11-22,3.3,USC00519397
2016-11-23,3.6,USC00519397
2016-11-24,1.3,USC00519397
2016-11-25,1.3,USC00519397
2016-11-26,1.3,USC00519397
2016-11-27,0.0,USC00519397
2016-11-28,0.3,USC00519397
2016-11-29,0.0,USC00519397
2016-11-30,3.6,USC00519397
2016-12-01,3.0,USC00519397
2016-12-02,0.8,USC00519397
2016-12-03,0.0,USC00519397
2016-12-04,0.8,USC00519397
2016-12-05,10.9,USC00519397
2016-12-06,0.5,USC00519397
2016-12-07,0.0,USC00519397
2016-12-08,0.8,USC00519397
2016-12-09,13.2,USC00519397
2016-12-10,1.3,USC00519397
2016-12-11,1.0,USC00519397
2016-12-12,0.3,USC00519397
2016-12-13,1.3,USC00519397
2016-12-14,0.8,USC00519397
2016-12-15,0.0,USC00519397
2016-12-16,0.0,USC00519397
2016-12-17,0.3,USC00519397
2016-12-18,3.3,USC00519397
2016-12-19,0.3,USC00519397
2016-12-20,0.0,USC00519397
2016-12-21,0.0,USC00519397
2016-12-22,0.3,USC00519397
2016-12-23,0.3,USC00519397
2016-12-24,0.3,USC00519397
2016-12-25,0.0,USC00519397
2016-12-26,0.5,USC00519397
2016-12-27,0.0,USC00519397
2016-12-28,0.5,USC00519397
2016-12-29,1.0,USC00519397
2016-12-30,3.0,USC00519397
2016-12-31,0.3,USC00519397
2017-01-01,0.0,USC00519397
2017-01-02,0.0,USC00519397
2017-01-03,0.0,USC00519397
2017-01-04,0.0,USC00519397
2017-01-05,0.0,USC00519397
2017-01-06,0.0,USC00519397
2017-01-07,0.0,USC00519397
2017-01-08,0.0,USC00519397
2017-01-09,0.0,USC00519397
2017-01-10,0.0,USC00519397
2017-01-11,0.0,USC00519397
2017-01-12,0.0,USC00519397
2017-01-13,0.0,USC00519397
2017-01-14,0.0,USC00519397
2017-01-15,0.0,USC00519397
2017-01-16,0.0,USC00519397
2017-01-17,0.0,USC00519397
2017-01-18,0.0,USC00519397
2017-01-19,0.0,USC00519397
2017-01-20,0.0,USC00519397
2017-01-21,0.0,USC00519397
2017-01-22,4.1,USC00519397
2017-01-23,0.0,USC00519397
2017-01-24,1.0,USC00519397
2017-01-25,0.8,USC00519397
2017-01-26,0.0,USC00519397
2017-01-27,0.0,USC00519397
2017-01-28,0.0,USC00519397
2017-01-29,4.6,USC00519397
2017-01-30,0.0,USC00519397
2017-01-31,0.0,USC00519397
2017-02-01,0.0,USC00519397
2017-02-02,0.0,USC00519397
2017-02-03,0.0,USC00519397
2017-02-04,0.0,USC00519397
2017-02-05,0.0,USC00519397
2017-02-06,0.0,USC00519397
2017-02-07,13.0,USC00519397
2017-02-08,0.0,USC00519397
2017-02-09,0.0,USC00519397
2017-02-10,0.0,USC00519397
2017-02-11,7.9,USC00519397
2017-02-12,66.5,USC00519397
2017-02-13,0.3,USC00519397
2017-02-14,0.0,USC00519397
2017-02-15,0.0,USC00519397
2017-02-16,1.8,USC00519397
2017-02-17,0.0,USC00519397
2017-02-18,0.0,USC00519397
2017-02-19,0.0,USC00519397
2017-02-20,0.0,USC00519397
2017-02-21,1.5,USC00519397
2017-02-22,1.5,USC00519397
2017-02-23,0.3,USC00519397
2017-02-24,0.0,USC00519397
2017-02-25,0.8,USC00519397
2017-02-26,0.0,USC00519397
2017-02-27,0.0,USC00519397
2017-02-28,0.0,USC00519397
2017-03-01,30.2,USC00519397
2017-03-02,18.5,USC00519397
2017-03-03,11.9,USC00519397
2017-03-04,0.0,USC00519397
2017-03-05,8.9,USC00519397
2017-03-06,0.0,USC00519397
2017-03-07,0.0,USC00519397
2017-03-08,0.0,USC00519397
2017-03-09,0.0,USC00519397
2017-03-10,0.0,USC00519397
2017-03-11,0.0,USC00519397
2017-03-12,0.0,USC00519397
2017-03-13,0.0,USC00519397
2017-03-14,0.0,USC00519397
2017-03-15,0.0,USC00519397
2017-03-16,0.0,USC00519397
2017-03-17,0.0,USC00519397
2017-03-18,0.0,USC00519397
2017-03-19,0.0,USC00519397
2017-03-20,0.0,USC00519397
2017-03-21,0.0,USC00519397
2017-03-22,0.0,USC00519397
2017-03-23,0.0,USC00519397
2017-03-24,0.5,USC00519397
2017-03-25,0.0,USC00519397
2017-03-26,0.0,USC00519397
2017-03-27,0.0,USC00519397
2017-03-28,0.0,USC00519397
2017-03-29,0.0,USC00519397
2017-03-30,0.0,USC00519397
2017-03-31,0.0,USC00519397
2017-04-01,0.0,USC00519397
2017-04-02,0.0,USC00519397
2017-04-03,0.0,USC00519397
2017-04-04,0.0,USC00519397
2017-04-05,0.0,USC00519397
2017-04-06,0.0,USC00519397
2017-04-07,0.0,USC00519397
2017-04-08,0.0,USC00519397
2017-04-09,0.0,USC00519397
2017-04-10,0.0,USC00519397
2017-04-11,0.0,USC00519397
2017-04-12,0.0,USC00519397
2017-04-13,0.0,USC00519397
2017-04-14,6.6,USC00519397
2017-04-15,0.3,USC00519397
2017-04-16,0.0,USC00519397
2017-04-17,0.5,USC00519397
2017-04-18,0.0,USC00519397
2017-04-19,0.5,USC00519397
2017-04-20,1.3,USC00519397
2017-04-21,5.8,USC00519397
2017-04-22,8.1,USC00519397
2017-04-23,0.8,USC00519397
2017-04-24,0.0,USC00519397
2017-04-25,0.0,USC00519397
2017-04-26,0.0,USC00519397
2017-04-27,0.0,USC00519397
2017-04-28,0.0,USC00519397
2017-04-29,3.0,USC00519397
2017-04-30,22.6,USC00519397
2017-05-01,6.6,USC00519397
2017-05-02,0.0,USC00519397
2017-05-03,0.0,USC00519397
2017-05-04,0.0,USC00519397
2017-05-05,0.0,USC00519397
2017-05-06,0.0,USC00519397
2017-05-07,0.0,USC00519397
2017-05-08,0.0,USC00519397
2017-05-10,0.0,USC00519397
2017-05-11,0.3,USC00519397
2017-05-12,0.0,USC00519397
2017-05-13,0.0,USC00519397
2017-05-14,0.0,USC00519397
2017-05-15,1.3,USC00519397
2017-05-16,0.3,USC00519397
2017-05-17,0.0,USC00519397
2017-05-18,0.3,USC00519397
2017-05-19,0.0,USC00519397
2017-05-20,0.0,USC00519397
2017-05-21,0.0,USC00519397
2017-05-22,0.0,USC00519397
2017-05-23,2.0,USC00519397
2017-05-24,3.3,USC00519397
2017-05-25,3.8,USC00519397
2017-05-27,0.3,USC00519397
2017-05-28,0.5,USC00519397
2017-05-29,0.0,USC00519397
2017-05-30,6.6,USC00519397
2017-05-31,0.5,USC00519397
2017-06-01,0.0,USC00519397
2017-06-02,0.0,USC00519397
2017-06-03,0.5,USC00519397
2017-06-04,0.0,USC00519397
2017-06-05,0.0,USC00519397
2017-06-06,0.0,USC00519397
2017-06-07,0.0,USC00519397
2017-06-08,0.0,USC00519397
2017-06-09,0.0,USC00519397
2017-06-10,1.0,USC00519397
2017-06-11,2.0,USC00519397
2017-06-12,0.5,USC00519397
2017-06-13,0.0,USC00519397
2017-06-14,0.0,USC00519397
2017-06-15,0.0,USC00519397
2017-06-16,0.0,USC00519397
2017-06-17,0.0,USC00519397
2017-06-18,1.3,USC00519397
2017-06-19,0.0,USC00519397
2017-06-20,0.5,USC00519397
2017-06-21,0.0,USC00519397
2017-06-22,0.0,USC00519397
2017-06-23,0.0,USC00519397
2017-06-24,1.5,USC00519397
2017-06-25,0.0,USC00519397
2017-06-26,0.0,USC00519397
2017-06-27,0.0,USC00519397
2017-06-28,0.0,USC00519397
2017-06-29,0.0,USC00519397
2017-06-30,2.0,USC00519397
2017-07-01,0.5,USC00519397
2017-07-02,0.5,USC00519397
2017-07-03,1.0,USC00519397
2017-07-04,1.0,USC00519397
2017-07-05,0.0,USC00519397
2017-07-06,0.0,USC00519397
2017-07-07,0.0,USC00519397
2017-07-08,0.0,USC00519397
2017-07-09,0.0,USC00519397
2017-07-10,0.0,USC00519397
2017-07-11,0.0,USC00519397
2017-07-12,0.0,USC00519397
2017-07-13,1.8,USC00519397
2017-07-14,0.5,USC00519397
2017-07-15,0.0,USC00519397
2017-07-16,0.5,USC00519397
2017-07-17,0.8,USC00519397
2017-07-18,1.3,USC00519397
2017-07-20,0.8,USC00519397
2017-07-21,0.0,USC00519397
2017-07-22,0.8,USC00519397
2017-07-23,0.0,USC00519397
2017-07-24,1.3,USC00519397
2017-07-25,0.0,USC00519397
2017-07-26,0.0,USC00519397
2017-07-27,0.0,USC00519397
2017-07-28,0.0,USC00519397
2017-07-29,0.0,USC00519397
2017-07-30,0.0,USC00519397
2017-07-31,0.0,USC00519397
2017-08-01,0.5,USC00519397
2017-08-02,0.0,USC00519397
2017-08-03,0.0,USC00519397
2017-08-04,0.5,USC00519397
2017-08-05,0.0,USC00519397
2017-08-06,0.0,USC00519397
2017-08-07,0.0,USC00519397
2017-08-08,0.0,USC00519397
2017-08-09,0.0,USC00519397
2017-08-10,0.0,USC00519397
2017-08-11,0.0,USC00519397
2017-08-12,0.0,USC00519397
2017-08-13,0.0,USC00519397
2017-08-14,0.0,USC00519397
2017-08-15,0.5,USC00519397
2017-08-18,0.0,USC00519397
2017-08-19,0.0,USC00519397
2017-08-20,0.0,USC00519397
2017-08-21,0.0,USC00519397
2017-08-22,0.0,USC00519397
2017-08-23,0.0,USC00519397
2016-08-24,54.6,USC00513117
2016-08-25,2.0,USC00513117
2016-08-26,0.8,USC00513117
2016-08-27,4.6,USC00513117
2016-08-28,3.6,USC00513117
2016-08-29,4.3,USC00513117
2016-08-30,0.0,USC00513117
2016-08-31,2.5,USC00513117
2016-09-01,0.0,USC00513117
2016-09-02,0.5,USC00513117
2016-09-03,1.8,USC00513117
2016-09-04,0.8,USC00513117
2016-09-05,2.8,USC00513117
2016-09-06,1.3,USC00513117
2016-09-07,2.5,USC00513117
2016-09-08,5.6,USC00513117
2016-09-09,0.3,USC00513117
2016-09-10,0.3,USC00513117
2016-09-11,4.6,USC00513117
2016-09-12,1.0,USC00513117
2016-09-13,9.4,USC00513117
2016-09-14,22.9,USC00513117
2016-09-15,3.0,USC00513117
2016-09-16,0.3,USC00513117
2016-09-17,1.0,USC00513117
2016-09-18,0.0,USC00513117
2016-09-19,0.3,USC00513117
2016-09-20,2.3,USC00513117
2016-09-21,1.5,USC00513117
2016-09-22,2.3,USC00513117
2016-09-23,3.8,USC00513117
2016-09-24,0.0,USC00513117
2016-09-25,0.5,USC00513117
2016-09-26,1.5,USC00513117
2016-09-27,3.0,USC00513117
2016-09-28,2.0,USC00513117
2016-09-29,12.4,USC00513117
2016-09-30,7.9,USC00513117
2016-10-01,3.6,USC00513117
2016-10-02,0.5,USC00513117
2016-10-03,1.0,USC00513117
2016-10-04,0.0,USC00513117
2016-10-05,0.0,USC00513117
2016-10-06,1.3,USC00513117
2016-10-07,0.0,USC00513117
2016-10-08,0.0,USC00513117
2016-10-09,0.0,USC00513117
2016-10-10,0.0,USC00513117
2016-10-11,0.5,USC00513117
2016-10-12,0.8,USC00513117
2016-10-13,0.0,USC00513117
2016-10-14,0.0,USC00513117
2016-10-15,0.0,USC00513117
2016-10-16,0.0,USC00513117
2016-10-17,0.8,USC00513117
2016-10-18,1.3,USC00513117
2016-10-19,1.5,USC00513117
2016-10-20,0.0,USC00513117
2016-10-21,3.8,USC00513117
2016-10-22,2.5,USC00513117
2016-10-23,0.3,USC00513117
2016-10-24,0.0,USC00513117
2016-10-25,1.0,USC00513117
2016-10-26,1.5,USC00513117
2016-10-27,2.8,USC00513117
2016-10-28,0.5,USC00513117
2016-10-29,0.5,USC00513117
2016-10-30,2.5,USC00513117
2016-10-31,0.8,USC00513117
2016-11-01,0.3,USC00513117
2016-11-02,0.0,USC00513117
2016-11-03,0.0,USC00513117
2016-11-04,0.0,USC00513117
2016-11-05,0.5,USC00513117
2016-11-06,0.5,USC00513117
2016-11-07,0.0,USC00513117
2016-11-08,3.6,USC00513117
2016-11-09,2.0,USC00513117
2016-11-10,0.0,USC00513117
2016-11-11,0.0,USC00513117
2016-11-12,0.0,USC00513117
2016-11-13,0.0,USC00513117
2016-11-14,1.5,USC00513117
2016-11-15,0.0,USC00513117
2016-11-16,3.6,USC00513117
2016-11-17,0.8,USC00513117
2016-11-18,0.3,USC00513117
2016-11-19,2.8,USC00513117
2016-11-20,2.8,USC00513117
2016-11-21,0.5,USC00513117
2016-11-22,10.4,USC00513117
2016-11-23,0.8,USC00513117
2016-11-24,5.1,USC00513117
2016-11-25,1.3,USC00513117
2016-11-26,1.3,USC00513117
2016-11-27,1.5,USC00513117
2016-11-28,0.5,USC00513117
2016-11-29,1.0,USC00513117
2016-11-30,1.3,USC00513117
2016-12-01,8.4,USC00513117
2016-12-02,7.6,USC00513117
2016-12-03,1.0,USC00513117
2016-12-04,2.5,USC00513117
2016-12-05,8.6,USC00513117
2016-12-06,0.5,USC00513117
2016-12-07,4.3,USC00513117
2016-12-08,0.8,USC00513117
2016-12-09,8.6,USC00513117
2016-12-10,0.5,USC00513117
2016-12-11,0.5,USC00513117
2016-12-12,0.3,USC00513117
2016-12-13,2.5,USC00513117
2016-12-14,1.3,USC00513117
2016-12-15,0.5,USC00513117
2016-12-16,0.3,USC00513117
2016-12-17,2.8,USC00513117
2016-12-18,7.4,USC00513117
2016-12-19,5.3,USC00513117
2016-12-20,0.5,USC00513117
2016-12-21,0.8,USC00513117
2016-12-22,4.3,USC00513117
2016-12-23,2.5,USC00513117
2016-12-24,3.6,USC00513117
2016-12-25,0.8,USC00513117
2016-12-26,6.6,USC00513117
2016-12-27,0.8,USC00513117
2016-12-28,2.3,USC00513117
2016-12-29,4.6,USC00513117
2016-12-30,5.3,USC00513117
2016-12-31,15.7,USC00513117
2017-01-01,7.4,USC00513117
2017-01-02,0.0,USC00513117
2017-01-03,0.0,USC00513117
2017-01-04,0.0,USC00513117
2017-01-05,0.0,USC00513117
2017-01-06,0.0,USC00513117
2017-01-07,1.5,USC00513117
2017-01-08,0.0,USC00513117
2017-01-09,0.0,USC00513117
2017-01-10,0.0,USC00513117
2017-01-11,0.0,USC00513117
2017-01-12,0.0,USC00513117
2017-01-13,0.0,USC00513117
2017-01-14,0.0,USC00513117
2017-01-15,0.0,USC00513117
2017-01-16,0.0,USC00513117
2017-01-17,0.0,USC00513117
2017-01-18,0.0,USC00513117
2017-01-19,0.0,USC00513117
2017-01-20,0.0,USC00513117
2017-01-21,1.0,USC00513117
2017-01-22,0.3,USC00513117
2017-01-23,2.0,USC00513117
2017-01-24,3.8,USC00513117
2017-01-25,3.0,USC00513117
2017-01-26,0.0,USC00513117
2017-01-27,0.0,USC00513117
2017-01-28,3.6,USC00513117
2017-01-29,0.0,USC00513117
2017-01-30,0.0,USC00513117
2017-01-31,0.0,USC00513117
2017-02-01,0.0,USC00513117
2017-02-02,0.0,USC00513117
2017-02-03,0.0,USC00513117
2017-02-04,0.0,USC00513117
2017-02-05,0.0,USC00513117
2017-02-06,4.1,USC00513117
2017-02-07,27.4,USC00513117
2017-02-08,27.4,USC00513117
2017-02-09,0.5,USC00513117
2017-02-10,0.0,USC00513117
2017-02-11,25.4,USC00513117
2017-02-12,27.2,USC00513117
2017-02-13,73.7,USC00513117
2017-02-14,0.0,USC00513117
2017-02-15,0.0,USC00513117
2017-02-16,0.0,USC00513117
2017-02-17,20.3,USC00513117
2017-02-18,0.0,USC00513117
2017-02-19,0.0,USC00513117
2017-02-20,0.0,USC00513117
2017-02-21,0.0,USC00513117
2017-02-22,1.5,USC00513117
2017-02-23,0.0,USC00513117
2017-02-24,0.0,USC00513117
2017-02-25,0.0,USC00513117
2017-02-26,0.0,USC00513117
2017-02-27,0.0,USC00513117
2017-02-28,4.1,USC00513117
2017-03-01,55.9,USC00513117
2017-03-02,36.8,USC00513117
2017-03-03,13.7,USC00513117
2017-03-04,0.0,USC00513117
2017-03-05,2.5,USC00513117
2017-03-06,13.0,USC00513117
2017-03-07,0.0,USC00513117
2017-03-08,0.0,USC00513117
2017-03-09,20.3,USC00513117
2017-03-10,3.3,USC00513117
2017-03-11,0.8,USC00513117
2017-03-12,0.0,USC00513117
2017-03-13,0.0,USC00513117
2017-03-14,0.0,USC00513117
2017-03-15,0.0,USC00513117
2017-03-16,0.0,USC00513117
2017-03-17,4.8,USC00513117
2017-03-18,0.0,USC00513117
2017-03-19,0.0,USC00513117
2017-03-20,0.0,USC00513117
2017-03-21,0.0,USC00513117
2017-03-22,0.0,USC00513117
2017-03-23,0.0,USC00513117
2017-03-24,15.2,USC00513117
2017-03-25,3.3,USC00513117
2017-03-26,0.0,USC00513117
2017-03-27,0.0,USC00513117
2017-03-28,0.8,USC00513117
2017-03-29,0.0,USC00513117
2017-03-30,2.0,USC00513117
2017-03-31,0.0,USC00513117
2017-04-01,0.0,USC00513117
2017-04-02,0.0,USC00513117
2017-04-03,2.0,USC00513117
2017-04-04,1.0,USC00513117
2017-04-05,1.0,USC00513117
2017-04-06,0.0,USC00513117
2017-04-07,0.0,USC00513117
2017-04-08,0.0,USC00513117
2017-04-09,0.0,USC00513117
2017-04-10,0.3,USC00513117
2017-04-11,0.8,USC00513117
2017-04-12,0.8,USC00513117
2017-04-13,6.9,USC00513117
2017-04-14,17.5,USC00513117
2017-04-15,11.4,USC00513117
2017-04-16,12.4,USC00513117
2017-04-17,10.4,USC00513117
2017-04-18,2.0,USC00513117
2017-04-19,0.5,USC00513117
2017-04-20,8.4,USC00513117
2017-04-21,29.5,USC00513117
2017-04-22,25.7,USC00513117
2017-04-23,0.5,USC00513117
2017-04-24,0.0,USC00513117
2017-04-25,0.0,USC00513117
2017-04-26,0.0,USC00513117
2017-04-27,2.5,USC00513117
2017-04-28,66.0,USC00513117
2017-04-29,8.9,USC00513117
2017-04-30,30.7,USC00513117
2017-05-01,1.8,USC00513117
2017-05-02,0.8,USC00513117
2017-05-03,0.3,USC00513117
2017-05-04,0.0,USC00513117
2017-05-05,0.0,USC00513117
2017-05-06,0.0,USC00513117
2017-05-07,1.8,USC00513117
2017-05-08,5.6,USC00513117
2017-05-09,41.1,USC00513117
2017-05-10,1.3,USC00513117
2017-05-11,0.8,USC00513117
2017-05-12,1.0,USC00513117
2017-05-13,0.5,USC00513117
2017-05-14,1.3,USC00513117
2017-05-15,2.0,USC00513117
2017-05-16,0.8,USC00513117
2017-05-17,0.5,USC00513117
2017-05-18,2.3,USC00513117
2017-05-19,0.5,USC00513117
2017-05-20,0.0,USC00513117
2017-05-21,0.0,USC00513117
2017-05-22,0.0,USC00513117
2017-05-23,0.5,USC00513117
2017-05-24,14.7,USC00513117
2017-05-25,9.4,USC00513117
2017-05-26,0.5,USC00513117
2017-05-27,0.0,USC00513117
2017-05-28,7.4,USC00513117
2017-05-29,0.5,USC00513117
2017-05-30,5.1,USC00513117
2017-05-31,2.5,USC00513117
2017-06-01,0.8,USC00513117
2017-06-02,2.5,USC00513117
2017-06-03,5.1,USC00513117
2017-06-04,3.8,USC00513117
2017-06-05,0.0,USC00513117
2017-06-06,0.0,USC00513117
2017-06-07,0.0,USC00513117
2017-06-08,0.5,USC00513117
2017-06-09,0.5,USC00513117
2017-06-10,5.3,USC00513117
2017-06-11,6.1,USC00513117
2017-06-12,4.8,USC00513117
2017-06-13,9.1,USC00513117
2017-06-14,6.9,USC00513117
2017-06-15,4.3,USC00513117
2017-06-16,0.5,USC00513117
2017-06-17,8.9,USC00513117
2017-06-18,6.4,USC00513117
2017-06-19,1.3,USC00513117
2017-06-20,1.3,USC00513117
2017-06-21,0.5,USC00513117
2017-06-22,2.5,USC00513117
2017-06-23,0.0,USC00513117
2017-06-24,0.0,USC00513117
2017-06-25,2.0,USC00513117
2017-06-26,0.5,USC00513117
2017-06-27,0.0,USC00513117
2017-06-28,0.3,USC00513117
2017-06-29,0.8,USC00513117
2017-06-30,1.0,USC00513117
2017-07-01,1.5,USC00513117
2017-07-02,1.3,USC00513117
2017-07-03,3.3,USC00513117
2017-07-04,0.8,USC00513117
2017-07-05,0.0,USC00513117
2017-07-06,0.0,USC00513117
2017-07-07,0.5,USC00513117
2017-07-08,0.5,USC00513117
2017-07-09,2.3,USC00513117
2017-07-10,0.0,USC00513117
2017-07-11,0.3,USC00513117
2017-07-12,0.3,USC00513117
2017-07-13,8.4,USC00513117
2017-07-14,1.3,USC00513117
2017-07-15,0.8,USC00513117
2017-07-16,1.8,USC00513117
2017-07-17,3.0,USC00513117
2017-07-18,0.8,USC00513117
2017-07-19,0.0,USC00513117
2017-07-20,3.0,USC00513117
2017-07-21,0.0,USC00513117
2017-07-22,1.8,USC00513117
2017-07-23,1.5,USC00513117
2017-07-24,14.7,USC00513117
2017-07-25,0.8,USC00513117
2017-07-26,1.5,USC00513117
2017-07-27,0.0,USC00513117
2017-07-28,3.3,USC00513117
2017-07-29,1.5,USC00513117
2017-07-30,0.0,USC00513117
2017-07-31,0.0,USC00513117
2016-08-24,57.9,USC00514830
2016-08-25,0.0,USC00514830
2016-08-26,0.5,USC00514830
2016-08-27,0.5,USC00514830
2016-08-28,3.6,USC00514830
2016-08-29,1.0,USC00514830
2016-08-31,,USC00514830
2016-09-01,0.0,USC00514830
2016-09-02,4.8,USC00514830
2016-09-05,,USC00514830
2016-09-06,1.0,USC00514830
2016-09-07,5.8,USC00514830
2016-09-08,0.3,USC00514830
2016-09-09,7.4,USC00514830
2016-09-12,,USC00514830
2016-09-13,8.1,USC00514830
2016-09-14,46.7,USC00514830
2016-09-15,1.8,USC00514830
2016-09-16,1.8,USC00514830
2016-09-19,,USC00514830
2016-09-20,6.4,USC00514830
2016-09-21,0.5,USC00514830
2016-09-22,4.3,USC00514830
2016-09-23,3.8,USC00514830
2016-09-24,0.0,USC00514830
2016-09-25,0.0,USC00514830
2016-09-26,0.5,USC00514830
2016-09-27,0.0,USC00514830
2016-09-28,0.0,USC00514830
2016-09-29,5.1,USC00514830
2016-09-30,1.5,USC00514830
2016-10-01,2.0,USC00514830
2016-10-02,0.8,USC00514830
